[2019-07-25 3350.998][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 1000
[2019-07-25 3350.998][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 4000
[2019-07-25 3350.998][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 170688
[2019-07-25 3350.998][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3350.998][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3350.998][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3350.998][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 170688
[2019-07-25 3351.263][0x00001ec8][0WARN]<[146] - RtcpCallback::CalculateRTT> !!!! rttMs=-5, 5959263,5958982,286
[2019-07-25 3352.012][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3352.012][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 1000
[2019-07-25 3352.012][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 4000
[2019-07-25 3352.012][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 170688
[2019-07-25 3352.012][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
[2019-07-25 3352.012][0x000007cc][DEBUG]<[148] - SenderBase::GetStat> [BW]Fecbps = 0
[2019-07-25 3352.012][0x000007cc][DEBUG]<[149] - SenderBase::GetStat> [BW]Padding = 0
[2019-07-25 3352.012][0x000007cc][DEBUG]<[150] - SenderBase::GetStat> [BW]Total = 170688
[2019-07-25 3353.026][0x000007cc][DEBUG]<[138] - SenderBase::GetStat> memroy used =48796
[2019-07-25 3353.026][0x000007cc][DEBUG]<[140] - SenderBase::GetStat> [key]RealRttUsS = 196000
[2019-07-25 3353.026][0x000007cc][DEBUG]<[141] - SenderBase::GetStat> [key]filterRttUsS = 196000
[2019-07-25 3353.026][0x000007cc][DEBUG]<[146] - SenderBase::GetStat> [BW]Videobps = 178816
[2019-07-25 3353.026][0x000007cc][DEBUG]<[147] - SenderBase::GetStat> [BW]Nackbp = 0
